ESG,Subcategory,Ambition.level,Years,Opportunity,Shortlist (Env.),Shortlist (Soc.),Shortlist (Gov.),Time period,% of total,Priority initiatives,Include? (Y/N), Total estimated cost , Cost based on ambition ,Annual cost,Annual.fixed.cost,Annual.variable.cost,Type of expense,Sources,Comments,ROI group,ROI,Total.value.growing,Total.value.uniform,Type of value dist.,Flag to review,Already pursued by Healius
Social,Community contribution,Hygiene factors,1-3 years,Amplify existing community and sustainability initiatives,0,0,0,3,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Hygiene factors,<5 years,Amplify existing community and sustainability initiatives,0,0,0,5,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Hygiene factors,<10 years,Amplify existing community and sustainability initiatives,0,0,0,10,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Quick wins,1-3 years,Amplify existing community and sustainability initiatives,0,0,0,3,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Quick wins,<5 years,Amplify existing community and sustainability initiatives,0,0,0,5,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Quick wins,<10 years,Amplify existing community and sustainability initiatives,0,0,0,10,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Aspirational,1-3 years,Amplify existing community and sustainability initiatives,0,0,0,3,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Aspirational,<5 years,Amplify existing community and sustainability initiatives,0,0,0,5,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Aspirational,<10 years,Amplify existing community and sustainability initiatives,0,0,0,10,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Fast follower,1-3 years,Amplify existing community and sustainability initiatives,0,0,0,3,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Fast follower,<5 years,Amplify existing community and sustainability initiatives,0,0,0,5,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Fast follower,<10 years,Amplify existing community and sustainability initiatives,0,0,0,10,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Industry leader,1-3 years,Amplify existing community and sustainability initiatives,0,0,0,3,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Industry leader,<5 years,Amplify existing community and sustainability initiatives,0,0,0,5,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Industry leader,<10 years,Amplify existing community and sustainability initiatives,0,0,0,10,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,REGENERATION,1-3 years,Amplify existing community and sustainability initiatives,0,1,0,3,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,REGENERATION,<5 years,Amplify existing community and sustainability initiatives,0,0,0,5,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,REGENERATION,<10 years,Amplify existing community and sustainability initiatives,0,0,0,10,100%,,Y,"10,000","10,000","10,000", -   ,"10,000",Annual,,TBC - currently assumes no cost,Low (+),3%,"103,000", -   ,Growing,,
Social,Community contribution,Quick wins,1-3 years,Increase philanthropic activities,0,0,0,3,10%,,Y,"160,040","16,004","16,004", -   ,"16,004",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"164,841", -   ,Growing,,
Social,Community contribution,Quick wins,<5 years,Increase philanthropic activities,0,0,0,5,10%,,Y,"160,040","16,004","16,004", -   ,"16,004",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"164,841", -   ,Growing,,
Social,Community contribution,Quick wins,<10 years,Increase philanthropic activities,0,0,0,10,10%,,Y,"160,040","16,004","16,004", -   ,"16,004",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"164,841", -   ,Growing,,
Social,Community contribution,Aspirational,1-3 years,Increase philanthropic activities,0,0,0,3,30%,,Y,"160,040","48,012","48,012", -   ,"48,012",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"494,524", -   ,Growing,,
Social,Community contribution,Aspirational,<5 years,Increase philanthropic activities,0,0,0,5,30%,,Y,"160,040","48,012","48,012", -   ,"48,012",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"494,524", -   ,Growing,,
Social,Community contribution,Aspirational,<10 years,Increase philanthropic activities,0,0,0,10,30%,,Y,"160,040","48,012","48,012", -   ,"48,012",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"494,524", -   ,Growing,,
Social,Community contribution,Fast follower,1-3 years,Increase philanthropic activities,0,0,0,3,50%,,Y,"160,040","80,020","80,020", -   ,"80,020",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"824,206", -   ,Growing,,
Social,Community contribution,Fast follower,<5 years,Increase philanthropic activities,0,0,0,5,50%,,Y,"160,040","80,020","80,020", -   ,"80,020",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"824,206", -   ,Growing,,
Social,Community contribution,Fast follower,<10 years,Increase philanthropic activities,0,0,0,10,50%,,Y,"160,040","80,020","80,020", -   ,"80,020",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"824,206", -   ,Growing,,
Social,Community contribution,Industry leader,1-3 years,Increase philanthropic activities,0,0,0,3,75%,,Y,"160,040","120,030","120,030", -   ,"120,030",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"1,236,309", -   ,Growing,,
Social,Community contribution,Industry leader,<5 years,Increase philanthropic activities,0,0,0,5,75%,,Y,"160,040","120,030","120,030", -   ,"120,030",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"1,236,309", -   ,Growing,,
Social,Community contribution,Industry leader,<10 years,Increase philanthropic activities,0,0,0,10,75%,,Y,"160,040","120,030","120,030", -   ,"120,030",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"1,236,309", -   ,Growing,,
Social,Community contribution,REGENERATION,1-3 years,Increase philanthropic activities,0,1,0,3,100%,,Y,"160,040","160,040","160,040", -   ,"160,040",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"1,648,412", -   ,Growing,,
Social,Community contribution,REGENERATION,<5 years,Increase philanthropic activities,0,0,0,5,100%,,Y,"160,040","160,040","160,040", -   ,"160,040",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"1,648,412", -   ,Growing,,
Social,Community contribution,REGENERATION,<10 years,Increase philanthropic activities,0,0,0,10,100%,,Y,"160,040","160,040","160,040", -   ,"160,040",Annual,,Based on 0.01% of revenue (using FY20 figures),Low (+),3%,"1,648,412", -   ,Growing,,
Social,Community contribution,Fast follower,1-3 years,Develop and lead research programs and initiatives (R&D),0,0,0,3,75%,,Y,"2,400,600","1,800,450","1,800,450", -   ,"1,800,450",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"18,544,635", -   ,Growing,,
Social,Community contribution,Fast follower,<5 years,Develop and lead research programs and initiatives (R&D),0,0,0,5,75%,,Y,"2,400,600","1,800,450","1,800,450", -   ,"1,800,450",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"18,544,635", -   ,Growing,,
Social,Community contribution,Fast follower,<10 years,Develop and lead research programs and initiatives (R&D),0,0,0,10,75%,,Y,"2,400,600","1,800,450","1,800,450", -   ,"1,800,450",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"18,544,635", -   ,Growing,,
Social,Community contribution,Industry leader,1-3 years,Develop and lead research programs and initiatives (R&D),0,0,0,3,85%,,Y,"2,400,600","2,040,510","2,040,510", -   ,"2,040,510",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"21,017,253", -   ,Growing,,
Social,Community contribution,Industry leader,<5 years,Develop and lead research programs and initiatives (R&D),0,0,0,5,85%,,Y,"2,400,600","2,040,510","2,040,510", -   ,"2,040,510",Annual,"https://www.statista.com/statistics/270233/percentage-of-global-rundd-spending-by-industry/#:~:text=In%202016%2C%20the%20industry%20spent,in%20order%20to%20remain%20competitive.","Assumes 15% of annual revenue spent on R&D (avg. based on 15% R&D), with a 1% increase",High (+),3%,"21,017,253", -   ,Growing,,
